item	itemLabel	countryLabel	official_website	geo
http://www.wikidata.org/entity/Q991759	Klinikum Mutterhaus der Borromäerinnen	Germany	https://www.mutterhaus.de/	Point(6.631795 49.754563)
http://www.wikidata.org/entity/Q992631	Otto-Wagner-Spital	Austria	http://www.wienkav.at/kav/ows/	Point(16.2796 48.2088)
http://www.wikidata.org/entity/Q999952	Hospital Holistica Engiadina	Switzerland		Point(10.079977777 46.749669444)
http://www.wikidata.org/entity/Q1000307	Diakonie-Klinikum Stuttgart	Germany	https://www.diakonie-klinik.de/	Point(9.16432 48.7814)
http://www.wikidata.org/entity/Q1000479	Boston Children's Hospital	United States of America	https://www.childrenshospital.org/	Point(-71.106 42.3373)
http://www.wikidata.org/entity/Q1003498	Franja Partisan Hospital	Slovenia	https://www.pb-franja.si/it/	Point(14.027479221 46.152233869)
http://www.wikidata.org/entity/Q1009265	Bundeswehrkrankenhaus Berlin	Germany	https://berlin.bwkrankenhaus.de	Point(13.3703 52.535)
http://www.wikidata.org/entity/Q1009269	Bundeswehrkrankenhaus Detmold	Germany		Point(8.88817 51.9332)
http://www.wikidata.org/entity/Q1009270	Bundeswehrkrankenhaus Hamburg	Germany	https://hamburg.bwkrankenhaus.de/startseite.html	Point(10.07599 53.594478)
http://www.wikidata.org/entity/Q1009270	Bundeswehrkrankenhaus Hamburg	Germany	https://hamburg.bwkrankenhaus.de/startseite.html	Point(10.078206 53.595627)
http://www.wikidata.org/entity/Q1009275	Bundeswehrkrankenhaus Westerstede	Germany	http://westerstede.bwkrankenhaus.de	Point(7.91752 53.259)
http://www.wikidata.org/entity/Q1009277	Bundeswehrkrankenhaus Ulm	Germany	http://www.bundeswehrkrankenhaus-ulm.de/portal/a/ulm	Point(9.9455 48.4252)
http://www.wikidata.org/entity/Q1009286	Bundeswehr Central Hospital in Koblenz	Germany	https://koblenz.bwkrankenhaus.de	Point(7.54297 50.3689)
http://www.wikidata.org/entity/Q1013582	Ranzow Castle	Germany		Point(6.10958 51.775)
http://www.wikidata.org/entity/Q1021117	Bürgerhospital Frankfurt am Main	Germany	https://www.buergerhospital-ffm.de/	Point(8.68625 50.1305)
http://www.wikidata.org/entity/Q1021117	Bürgerhospital Frankfurt am Main	Germany	https://www.buergerhospital-ffm.de/	Point(8.686741 50.130939)
http://www.wikidata.org/entity/Q1021476	Bürgerspital Basel	Switzerland	http://www.buespi.ch/	Point(7.583162 47.562467)
http://www.wikidata.org/entity/Q1021477	Ehemaliges Bürgerspital, St Veit an der Glan	Austria		Point(14.3547 46.765)
http://www.wikidata.org/entity/Q1021478	Spital	Germany		Point(9.93514129 49.79620124)
http://www.wikidata.org/entity/Q1025960	Cairns Base Hospital	Australia	https://www.health.qld.gov.au/services/cairns-hinterland/cairns_cairns_hosp.asp	Point(145.7676529 -16.9122293)
http://www.wikidata.org/entity/Q1034998	Pál Heim Children's Hospital	Hungary	http://heimpalkorhaz.hu	Point(19.091667 47.478333)
http://www.wikidata.org/entity/Q1036322	Caritas-Hospital St. Josef Regensburg	Germany	http://www.caritasstjosef.de	Point(12.11807 49.006475)
http://www.wikidata.org/entity/Q1036327	CaritasKlinikum Saarbrücken	Germany	https://www.caritasklinikum.de/	Point(6.95988 49.24825)
http://www.wikidata.org/entity/Q1036616	Carl-Thiem-Klinikum Cottbus	Germany	https://ctk.de/	Point(14.3229 51.7429)
http://www.wikidata.org/entity/Q1052562	Cedars-Sinai Medical Center	United States of America	https://www.cedars-sinai.edu	Point(-118.380676 34.075198)
http://www.wikidata.org/entity/Q1052562	Cedars-Sinai Medical Center	United States of America	https://www.cedars-sinai.org	Point(-118.380676 34.075198)
http://www.wikidata.org/entity/Q1054216	Centre hospitalier de l'Université de Montréal	Canada	https://www.chumontreal.qc.ca/	Point(-73.557896 45.512177)
http://www.wikidata.org/entity/Q1054401	Maria Sklodowska-Curie National Research Institute of Oncology	Poland	https://www.pib-nio.pl/	Point(21.03232 52.14728)
http://www.wikidata.org/entity/Q1054401	Maria Sklodowska-Curie National Research Institute of Oncology	Poland	https://www.pib-nio.pl/	Point(21.056111 52.149722)
http://www.wikidata.org/entity/Q1054748	Little House of the Divine Providence	Italy		Point(7.680568 45.079212)
http://www.wikidata.org/entity/Q1065120	La Vieille Charité	France	http://vieille-charite-marseille.com/	Point(5.367774 43.300205)
http://www.wikidata.org/entity/Q1067433	Charlottenklinik Stuttgart	Germany	http://www.charlottenklinik.de/	Point(9.162738 48.781421)
http://www.wikidata.org/entity/Q1072787	Children's Hospital Los Angeles	United States of America	https://www.chla.org/	Point(-118.291 34.0975)
http://www.wikidata.org/entity/Q1073484	China Rehabilitation Research Center	People's Republic of China	http://www.crrc.com.cn/html7/index.cbs	Point(116.37241 39.84827)
http://www.wikidata.org/entity/Q1074095	Bach Mai Hospital	Vietnam	http://www.ecdoh.gov.za/hospitals/41/BJ_Voster_Hospital	Point(105.839789 21.001196)
http://www.wikidata.org/entity/Q1077277	Chris Hani Baragwanath Hospital	South Africa	https://www.chrishanibaragwanathhospital.co.za/	Point(27.94305556 -26.26083333)
http://www.wikidata.org/entity/Q1087117	Christophsbad Göppingen	Germany	http://www.christophsbad.de	Point(9.64444 48.7013)
http://www.wikidata.org/entity/Q1089471	AHEPA University Hospital	Greece	https://www.ahepahosp.gr/	Point(22.9608004 40.6292308)
http://www.wikidata.org/entity/Q1100206	Clemenshospital Münster	Germany		Point(7.61458 51.9326)
http://www.wikidata.org/entity/Q1101517	Clinic Neuendettelsau	Germany		Point(10.7925 49.2933)
http://www.wikidata.org/entity/Q1112730	Dr. von Ehrenwall’sche Klinik	Germany	http://www.ehrenwall.com/	Point(7.091225 50.5396)
http://www.wikidata.org/entity/Q1115846	Ospedale del Ceppo	Italy		Point(10.918222222 43.935055555)
http://www.wikidata.org/entity/Q1125419	Confraternität Privatklinik Josefstadt	Austria	http://www.privatklinik-confraternitaet.at/	Point(16.3489 48.2144)
http://www.wikidata.org/entity/Q1130784	Lariboisière Hospital	France	https://hopital-lariboisiere.aphp.fr	Point(2.35305556 48.88305556)
http://www.wikidata.org/entity/Q1131080	Hôpital Cochin	France	http://hopitaux-paris-centre.aphp.fr/	Point(2.340277777 48.836944444)
http://www.wikidata.org/entity/Q1131080	Hôpital Cochin	France	https://hopital-cochin-port-royal.aphp.fr	Point(2.340277777 48.836944444)
http://www.wikidata.org/entity/Q1134382	ISMETT	Italy	http://www.ismett.edu/	Point(13.357948 38.1016374)
http://www.wikidata.org/entity/Q1134710	Italian Hospital of Buenos Aires	Argentina	https://www.hospitalitaliano.org.ar/#!/home/principal	Point(-58.425 -34.6065833)
